Title,Tag,Description
,https://www.w3schools.com/tags/tag_comment.asp,Defines a comment
,https://www.w3schools.com/tags/tag_doctype.asp,Defines the document type
,https://www.w3schools.com/tags/tag_a.asp,Defines a hyperlink
,https://www.w3schools.com/tags/tag_abbr.asp,Defines an abbreviation or an acronym
,https://www.w3schools.com/tags/tag_acronym.asp,Not supported in HTML5. Use https://www.w3schools.com/tags/tag_abbr.asp instead.Defines an acronym
,https://www.w3schools.com/tags/tag_address.asp,Defines contact information for the author/owner of a document
,https://www.w3schools.com/tags/tag_applet.asp,Not supported in HTML5. Use https://www.w3schools.com/tags/tag_embed.asp or https://www.w3schools.com/tags/tag_object.asp instead.Defines an embedded applet
,https://www.w3schools.com/tags/tag_area.asp,Defines an area inside an image map
,https://www.w3schools.com/tags/tag_article.asp,Defines an article
,https://www.w3schools.com/tags/tag_aside.asp,Defines content aside from the page content
,https://www.w3schools.com/tags/tag_audio.asp,Defines embedded sound content
,https://www.w3schools.com/tags/tag_b.asp,Defines bold text
,https://www.w3schools.com/tags/tag_base.asp,Specifies the base URL/target for all relative URLs in a document
,https://www.w3schools.com/tags/tag_basefont.asp,"Not supported in HTML5. Use CSS instead.Specifies a default color, size, and font for all text in a document"
,https://www.w3schools.com/tags/tag_bdi.asp,"Isolates a part of text that might be formatted in a different direction 
from other text outside it"
,https://www.w3schools.com/tags/tag_bdo.asp,Overrides the current text direction
,https://www.w3schools.com/tags/tag_big.asp,Not supported in HTML5. Use CSS instead.Defines big text
,https://www.w3schools.com/tags/tag_blockquote.asp,Defines a section that is quoted from another source
,https://www.w3schools.com/tags/tag_body.asp,Defines the document's body
,https://www.w3schools.com/tags/tag_br.asp,Defines a single line break
,https://www.w3schools.com/tags/tag_button.asp,Defines a clickable button
,https://www.w3schools.com/tags/tag_canvas.asp,"Used to draw graphics, on the fly, via scripting (usually JavaScript)"
,https://www.w3schools.com/tags/tag_caption.asp,Defines a table caption
,https://www.w3schools.com/tags/tag_center.asp,Not supported in HTML5. Use CSS instead.Defines centered text
,https://www.w3schools.com/tags/tag_cite.asp,Defines the title of a work
,https://www.w3schools.com/tags/tag_code.asp,Defines a piece of computer code
,https://www.w3schools.com/tags/tag_col.asp,Specifies column properties for each column within a <colgroup> element
,https://www.w3schools.com/tags/tag_colgroup.asp,Specifies a group of one or more columns in a table for formatting
,https://www.w3schools.com/tags/tag_data.asp,"Adds a machine-readable 
translation of a given content"
,https://www.w3schools.com/tags/tag_datalist.asp,Specifies a list of pre-defined options for input controls
,https://www.w3schools.com/tags/tag_dd.asp,Defines a description/value of a term in a description list
,https://www.w3schools.com/tags/tag_del.asp,Defines text that has been deleted from a document
,https://www.w3schools.com/tags/tag_details.asp,Defines additional details that the user can view or hide
,https://www.w3schools.com/tags/tag_dfn.asp,Specifies a term that is going to be defined within the content
,https://www.w3schools.com/tags/tag_dialog.asp,Defines a dialog box or window
,https://www.w3schools.com/tags/tag_dir.asp,Not supported in HTML5. Use https://www.w3schools.com/tags/tag_ul.asp instead.Defines a directory list
,https://www.w3schools.com/tags/tag_div.asp,Defines a section in a document
,https://www.w3schools.com/tags/tag_dl.asp,Defines a description list
,https://www.w3schools.com/tags/tag_dt.asp,Defines a term/name in a description list
,https://www.w3schools.com/tags/tag_em.asp,Defines emphasized text
,https://www.w3schools.com/tags/tag_embed.asp,Defines a container for an external application
,https://www.w3schools.com/tags/tag_fieldset.asp,Groups related elements in a form
,https://www.w3schools.com/tags/tag_figcaption.asp,Defines a caption for a <figure> element
